controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,1730.0,4.0239245717765915,6.06186164383442,7.0,-2.9760754282234085,-0.8928226284670225,1284.6019109393353,1.2846019109393354,0.39177928247231286,30.0,5.0,42.59288480600861,0.39177928247231286,0.39177928247231286,39.177928247231286,-1.5631940186722204e-13
PI_NO_ANTI_WINDUP,False,1740.0,4.0402640768425115,6.001608606485097,7.0,-2.9597359231574885,-0.8879207769472465,1254.8411566571012,1.2548411566571012,0.3669203797098547,30.0,5.0,40.99210066953003,0.3669203797098547,0.3669203797098547,36.69203797098547,5.968558980384842e-13
PI_NO_ANTI_WINDUP,False,1750.0,4.0608385395149735,5.949014823377298,7.0,-2.9391614604850265,-0.881748438145508,1225.2437974255263,1.2252437974255264,0.3434953592800184,30.0,5.0,39.462884332722574,0.3434953592800184,0.3434953592800184,34.34953592800184,4.547473508864641e-13
PI_NO_ANTI_WINDUP,False,1760.0,4.085304321355743,5.903737864847525,7.0,-2.9146956786442573,-0.8744087035932772,1195.852182820676,1.195852182820676,0.3214434792273989,30.0,5.0,38.00526105897824,0.3214434792273989,0.3214434792273989,32.14434792273989,4.973799150320701e-14
PI_NO_ANTI_WINDUP,False,1770.0,4.113346967940616,5.8654351803548055,7.0,-2.8866530320593844,-0.8659959096178153,1166.7052260342334,1.1667052260342334,0.3007093164164182,30.0,5.0,36.618643639456565,0.3007093164164182,0.3007093164164182,30.070931641641817,1.7763568394002505e-14
PI_NO_ANTI_WINDUP,False,1780.0,4.144675733480399,5.833767028969846,7.0,-2.8553242665196006,-0.8565972799558802,1137.8386957136395,1.1378386957136395,0.2812414157577593,30.0,5.0,35.30200807572943,0.2812414157577593,0.2812414157577593,28.12414157577593,1.0036416142611415e-12
PI_NO_ANTI_WINDUP,False,1790.0,4.179019592331851,5.808398569277361,7.0,-2.8209804076681486,-0.8462941223004445,1109.2854530484435,1.1092854530484435,0.26299133074799896,30.0,5.0,34.05402061816115,0.26299133074799896,0.26299133074799896,26.299133074799897,-2.4868995751603507e-13
PI_NO_ANTI_WINDUP,False,1800.0,4.2161243174197045,5.78900134143927,7.0,-2.7838756825802955,-0.8351627047740886,1081.0756489717621,1.0810756489717621,0.2459129441976735,30.0,5.0,32.87312980200891,0.2459129441976735,0.2459129441976735,24.59129441976735,1.4424017535930034e-12
PI_NO_ANTI_WINDUP,False,1810.0,4.255750324033301,5.775254308893772,7.0,-2.7442496759666994,-0.8232749027900098,1053.2368921459592,1.0532368921459592,0.22996198935594936,30.0,5.0,31.757633283583857,0.22996198935594936,0.22996198935594936,22.996198935594936,-2.2737367544323206e-13
PI_NO_ANTI_WINDUP,False,1820.0,4.297671062540425,5.766844580264184,7.0,-2.7023289374595754,-0.8106986812378726,1025.7943953862923,1.0257943953862922,0.21509571414841966,30.0,5.0,30.70572652042657,0.21509571414841966,0.21509571414841966,21.509571414841965,-4.689582056016661e-13
