time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
1530,6.92751533699427,6.92751533699427,0,9.32009931400812,9.32009931400812,0,0.607842219024902,0.607842219024902,-1.11022302462516e-16,629.58761792662,629.58761792662,-1.13686837721616e-13
1540,6.87594013707609,6.87594013707609,0,9.22438158616319,9.22438158616319,0,0.591644812419389,0.591644812419389,-1.11022302462516e-16,628.862771296563,628.862771296563,-1.13686837721616e-13
1550,6.82770063967887,6.82770063967887,0,9.13307811111094,9.13307811111094,0,0.575932364570985,0.575932364570985,-1.11022302462516e-16,627.622172667324,627.622172667324,-1.13686837721616e-13
1560,6.78267266214696,6.78267266214696,0,9.04608103382419,9.04608103382419,0,0.560700977708202,0.560700977708202,-1.11022302462516e-16,625.899179064112,625.899179064112,-1.13686837721616e-13
1570,6.74073551955,6.74073551955,0,8.96328086651293,8.96328086651293,0,0.545946561550581,0.545946561550581,-1.11022302462516e-16,623.725905685582,623.725905685582,-1.13686837721616e-13
1580,6.70177160374362,6.70177160374362,0,8.88456700167309,8.88456700167309,0,0.531664742004168,0.531664742004168,-1.11022302462516e-16,621.133260881082,621.133260881082,-1.13686837721616e-13
1590,6.66566609951543,6.66566609951543,0,8.80982813173661,8.80982813173661,0,0.517850806773149,0.517850806773149,-1.11022302462516e-16,618.150976918518,618.150976918518,-1.13686837721616e-13
1600,6.63230679710447,6.63230679710447,0,8.73895259837095,8.73895259837095,0,0.504499677045013,0.504499677045013,-1.11022302462516e-16,614.807637913673,614.807637913673,-1.13686837721616e-13
1610,6.60158397194642,6.60158397194642,0,8.67182868810076,8.67182868810076,0,0.491605897468643,0.491605897468643,-1.11022302462516e-16,611.130705884717,611.130705884717,-1.13686837721616e-13
1620,6.57339031080174,6.57339031080174,8.88178419700125e-16,8.60834488634178,8.60834488634178,0,0.479163638844703,0.479163638844703,1.66533453693773e-16,607.146545604182,607.146545604181,-1.13686837721616e-13
1630,6.54762086938698,6.54762086938698,0,8.54839009864424,8.54839009864424,0,0.467166709528294,0.467166709528294,-1.11022302462516e-16,602.880448712199,602.880448712199,-1.13686837721616e-13
1640,6.52417305091161,6.52417305091161,0,8.49185384557497,8.49185384557497,0,0.455608572679552,0.455608572679552,-1.11022302462516e-16,598.356657406069,598.356657406069,-1.13686837721616e-13
1650,6.50294659799539,6.50294659799539,0,8.4386264359651,8.4386264359651,0,0.444482367313801,0.444482367313801,-1.11022302462516e-16,593.598387915185,593.598387915185,-1.13686837721616e-13
1660,6.483843592647,6.483843592647,0,8.38859912202459,8.38859912202459,0,0.433780931689238,0.433780931689238,-1.11022302462516e-16,588.627853895139,588.627853895139,-1.13686837721616e-13
1670,6.46676846056598,6.46676846056598,0,8.34166423894329,8.34166423894329,0,0.423496827991404,0.423496827991403,-1.11022302462516e-16,583.466289821609,583.466289821609,-1.13686837721616e-13
1680,6.45162797716381,6.45162797716381,0,8.29771533096202,8.29771533096202,0,0.413622367576411,0.413622367576411,-1.11022302462516e-16,578.133974427269,578.133974427268,-1.13686837721616e-13
1690,6.43833127351185,6.43833127351185,0,8.25664726543865,8.25664726543865,0,0.404149636252462,0.404149636252462,-1.11022302462516e-16,572.650254198907,572.650254198907,-1.13686837721616e-13
