controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI,520.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,530.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,540.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,550.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,560.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,570.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,580.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,590.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,600.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,50.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI,610.0,7.0,8.531100478468899,7.0,0.0,0.0,300.0,0.3,50.0,5.0,31.99999999999998,0.3,0.3,30.0,-1.7621459846850485e-12
PI,620.0,7.009569377990431,8.617224880382775,7.0,0.009569377990430894,0.002870813397129268,300.0,0.3,50.0,5.0,33.59999999999999,0.30287081339712923,0.30287081339712923,30.287081339712923,1.9610979506978765e-12
PI,630.0,7.02542066344635,8.695693779904307,7.0,0.025420663446349856,0.007626199033904956,300.0956937799043,0.3000956937799043,50.0,5.0,34.908708133971295,0.30772189281380924,0.30772189281380924,30.772189281380925,1.5631940186722204e-12
PI,640.0,7.04521261967884,8.767900918019278,7.0,0.04521261967884005,0.013563785903652014,300.3499004143678,0.3003499004143678,50.0,5.0,36.004185435315144,0.31391368631801986,0.31391368631801986,31.391368631801985,2.5011104298755527e-12
PI,650.0,7.067283513475553,8.834866537945999,7.0,0.06728351347555339,0.020185054042666017,300.80202661115624,0.30080202661115624,50.0,5.0,36.942485211432306,0.32098708065382225,0.32098708065382225,32.098708065382226,-1.9042545318370685e-12
PI,660.0,7.090459480681535,8.89734268525972,7.0,0.09045948068153464,0.02713784420446039,301.47486174591177,0.30147486174591176,50.0,5.0,37.76385897568406,0.3286127059503722,0.3286127059503722,32.86127059503722,-1.0231815394945443e-12
PI,670.0,7.113916841354486,8.955888814562666,7.0,0.11391684135448621,0.034175052406345864,302.3794565527271,0.30237945655272713,50.0,5.0,38.49721424005096,0.336554508959073,0.336554508959073,33.6554508959073,-2.8421709430404007e-13
PI,680.0,7.137083173144648,9.010926067002613,7.0,0.13708317314464757,0.04112495194339427,303.51862496627194,0.30351862496627197,50.0,5.0,39.16331648163147,0.34464357690966624,0.34464357690966624,34.46435769096662,-1.0800249583553523e-12
PI,690.0,7.159566229559312,9.062776227377581,7.0,0.15956622955931188,0.04786986886779356,304.8894566977184,0.3048894566977184,50.0,5.0,39.777088954401826,0.3527593255655119,0.3527593255655119,35.27593255655119,-1.5063505998114124e-12
PI,700.0,7.1811028630418505,9.11168967735652,7.0,0.18110286304185053,0.05433085891255516,306.4851189933115,0.30648511899331154,50.0,5.0,40.34926441917658,0.3608159779058667,0.3608159779058667,36.08159779058667,-1.2505552149377763e-12
PI,710.0,7.201522320594912,9.157865445685818,7.0,0.20152232059491215,0.06045669617847364,308.29614762373,0.30829614762373003,50.0,5.0,40.887571314399935,0.3687528438022037,0.3687528438022037,36.87528438022037,-2.2737367544323206e-13
PI,720.0,7.2207198657345275,9.201465582937493,7.0,0.2207198657345275,0.06621595972035825,310.3113708296791,0.31031137082967913,50.0,5.0,41.39758548954197,0.3765273305500374,0.3765273305500374,37.652733055003736,-3.979039320256561e-13
PI,730.0,7.238637819966768,9.242625460977962,7.0,0.23863781996676803,0.0715913459900304,312.51856948702437,0.3125185694870244,50.0,5.0,41.88334169713395,0.3841099154770548,0.3841099154770548,38.41099154770548,5.968558980384842e-13
PI,740.0,7.255251935514273,9.281461146637609,7.0,0.2552519355142726,0.07657558065428179,314.904947686692,0.314904947686692,50.0,5.0,42.347772512477725,0.3914805283409738,0.3914805283409738,39.14805283409738,1.6058265828178264e-12
PI,750.0,7.270561599047193,9.318074675286041,7.0,0.270561599047193,0.0811684797141579,317.4574670418348,0.3174574670418348,50.0,5.0,42.79302329339193,0.3986259467559927,0.3986259467559927,39.86259467559927,1.5347723092418164e-12
PI,760.0,7.284582788606009,9.352557817422921,7.0,0.2845827886060093,0.08537483658180278,320.1630830323067,0.32016308303230673,50.0,5.0,43.22067810227346,0.4055379196141095,0.4055379196141095,40.55379196141095,-2.4158453015843406e-12
PI,770.0,7.297343009375687,9.384994764301995,7.0,0.2973430093756866,0.08920290281270597,323.0089109183668,0.3230089109183668,50.0,5.0,43.63192167795984,0.4122118137310728,0.4122118137310728,41.22118137310728,-1.2931877790833823e-12
PI,780.0,7.308877651982637,9.41546403857013,7.0,0.3088776519826366,0.09266329559479099,325.98234101212364,0.32598234101212364,50.0,5.0,44.027655479678614,0.4186456366069146,0.4186456366069146,41.86456366069146,1.3073986337985843e-12
PI,790.0,7.319227373604584,9.444039849672146,7.0,0.3192273736045843,0.09576821208137529,329.07111753195,0.32907111753195,50.0,5.0,44.40858074981204,0.42483932961332527,0.42483932961332527,42.48393296133253,-1.7337242752546445e-12
PI,800.0,7.3284362146977875,9.470793051826156,7.0,0.3284362146977875,0.09853086440933624,332.2633912679958,0.3322633912679958,50.0,5.0,44.775257895982904,0.43079425567733204,0.43079425567733204,43.0794255677332,1.3073986337985843e-12
PI,810.0,7.336550244976494,9.495791817874085,7.0,0.3365502449764941,0.10096507349294823,335.54775341497367,0.33554775341497367,50.0,5.0,45.12814887355965,0.4365128269079219,0.4365128269079219,43.65128269079219,7.958078640513122e-13
PI,820.0,7.343616590348587,9.519102110345091,7.0,0.3436165903485868,0.10308497710457605,338.91325586473863,0.33891325586473864,50.0,5.0,45.46764736792694,0.4419982329693147,0.4419982329693147,44.19982329693147,-1.6981971384666394e-12
PI,830.0,7.349682734228948,9.540788008106206,7.0,0.34968273422894836,0.1049048202686845,342.3494217682245,0.34234942176822447,50.0,5.0,45.79410022403469,0.447254242036909,0.447254242036909,44.7254242036909,5.542233338928781e-13
