time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
1180.0,8.622490171684978,10.97292899758104,50.0,5.0,49.12417146122768,0.48674705150549347,0.48674705150549347,48.67470515054934,1.0462741784067475e-12
1190.0,8.6246407281954,10.977119564752199,50.0,5.0,49.16680768403709,0.4873922184586201,0.4873922184586201,48.739221845862005,-1.5472068071176182e-12
1200.0,8.626686593449827,10.981106130857285,50.0,5.0,49.20736833181585,0.48800597803494816,0.48800597803494816,48.80059780349482,1.829647544582258e-12
1210.0,8.628632863920263,10.984898626877305,50.0,5.0,49.24595444580218,0.4885898591760789,0.4885898591760789,48.85898591760789,1.2434497875801753e-12
1220.0,8.630484387978608,10.988506500342366,50.0,5.0,49.28266214840253,0.4891453163935825,0.4891453163935825,48.91453163935825,-1.9539925233402755e-12
1230.0,8.632245777974035,10.991938738866756,50.0,5.0,49.31758288265786,0.4896737333922104,0.4896737333922104,48.96737333922104,-2.0961010704922955e-12
1240.0,8.633921421722537,10.99520389253825,50.0,5.0,49.35080364004839,0.490176426516761,0.490176426516761,49.017642651676105,2.469136006766348e-12
1250.0,8.635515493437238,10.998310095217445,50.0,5.0,49.382407177206325,0.49065464803117126,0.49065464803117126,49.06546480311712,3.1796787425264483e-12
1260.0,8.63703196412666,11.00126508480019,50.0,5.0,49.41247222207678,0.4911095892379979,0.4911095892379979,49.11095892379979,1.5276668818842154e-12
1270.0,8.638474611486837,11.004076222493602,50.0,5.0,49.44107367004138,0.491542383446051,0.491542383446051,49.1542383446051,-1.8118839761882555e-12
1280.0,8.639847029311891,11.00675051115369,50.0,5.0,49.468282770493595,0.4919541087935673,0.4919541087935673,49.195410879356736,-5.3290705182007514e-14
1290.0,8.641152636446517,11.009294612730276,50.0,5.0,49.49416730433057,0.49234579093395503,0.49234579093395503,49.2345790933955,-1.1013412404281553e-12
1300.0,8.642394685302666,11.011714864862666,50.0,5.0,49.51879175280401,0.49271840559079966,0.49271840559079966,49.27184055907997,2.077449323678593e-12
1310.0,8.643576269961633,11.014017296667431,50.0,5.0,49.54221745815118,0.4930728809884899,0.4930728809884899,49.307288098848986,-4.805045250577678e-13
1320.0,8.644700333881739,11.016207643757618,50.0,5.0,49.56450277640587,0.4934101001645215,0.4934101001645215,49.34101001645215,2.6556534749033744e-13
1330.0,8.645769677230799,11.018291362530794,50.0,5.0,49.5857032227699,0.4937309031692397,0.4937309031692397,49.37309031692397,-2.4877877535800508e-12
1340.0,8.64678696386164,11.020273643761561,50.0,5.0,49.60587160990835,0.49403608915849195,0.49403608915849195,49.4036089158492,-6.394884621840902e-13
1350.0,8.647754727948048,11.022159425532335,50.0,5.0,49.625058179511605,0.49432641838441427,0.49432641838441427,49.43264183844143,1.6697754290362354e-12
